appid,playtime_forever,playtime_2weeks,steam_account_ids,name,img_icon_url,has_community_visible_stats,capsule_filename,has_workshop,has_market,has_dlc,content_descriptorids,has_leaderboards,sort_as,playtime_hours
282800,0,0.0,76561199483779798,100% Orange Juice,baaf4be38deeb8a631567ee6c651ca23b65c834a,True,1076ed1e28e33835a110dc1eac8139b96ef7de2d/library_600x900.jpg,True,True,True,,True,,0.0
503820,245,0.0,76561198116491768,A Detective's Novel,69a39477c3418ede5f976b63fcdfb9633ca67ce6,,portrait.png,False,False,False,,,,4.08
285580,38,0.0,"76561198116491768, 76561198120249474",ACE - Arena: Cyber Evolution,bc3cae37618507076cdaa2617c02e6edbb14331a,True,portrait.png,False,False,True,,True,,0.63
293500,18,0.0,"76561198116491768, 76561198120249474",Amazing World,a64bb6299342af445a3ad432c4bd1028a746b2f3,True,portrait.png,False,False,True,,,,0.3
239200,0,0.0,"76561198116491768, 76561198120249474",Amnesia: A Machine for Pigs,3bf781ae80c6eeb8827819fb2ed92aa2353d3007,True,library_600x900.jpg,False,False,False,[5],,,0.0
57300,0,0.0,"76561198116491768, 76561198120249474",Amnesia: The Dark Descent,2c08de657a8b273eeb55bb5bf674605ca023e381,True,library_600x900.jpg,True,False,True,[5],,,0.0
266430,18,0.0,"76561198116491768, 76561198120249474",Anarchy Arcade,9e7b94941811cfabf33da4274b195aa3b5683da6,True,library_600x900.jpg,True,False,False,,,,0.3
91200,187,0.0,76561198116491768,Anomaly Warzone Earth,8b8010ddbc76c7a445648f89162f453ea7e1e101,True,library_600x900.jpg,False,False,True,,True,,3.12
308040,323,0.0,76561198116491768,Back to Bed,030732feca4ee5746b201e4e8e06c003f4df7850,True,library_600x900.jpg,False,False,False,,,,5.38
305260,18,0.0,"76561198116491768, 76561198120249474",Battle Islands,635072582531c9361a01a770b75fa93a61e1f3b7,True,portrait.png,False,False,False,,,,0.3
582660,960,0.0,"76561199483779798, 76561198116491768, 76561198120249474",Black Desert,bf5ccace0a692720984827bf042143d0d4b28a42,,388d66db256e9e20778ac5ded1a21e34d160adbe/library_capsule.jpg,False,False,True,"[1, 5]",,,16.0
836620,129,0.0,"76561198116491768, 76561198120249474",Black Desert (Retired),fd76e9933c56ebb5536b0396cfdf7c2dcd3e029c,,library_600x900.jpg,False,False,False,,,,2.15
80360,536,0.0,76561198116491768,Blackwell Deception,d4e07855c49b1fd6eae67d04d9ac111d18a945a8,True,library_600x900.jpg,False,False,True,,,,8.93
258220,176,0.0,76561198116491768,Blood Knights,38cfa3e118ce05301ba36b439a40e82ee76173d8,True,library_600x900.jpg,False,False,False,,,,2.93
447940,0,0.0,76561198116491768,Brine,209e241f7551770a005f12e4065c767da79fda9e,,portrait.png,False,False,False,,,,0.0
219640,4428,0.0,"76561198116491768, 76561198120249474",Chivalry: Medieval Warfare,d4628be29b7e97d93a3404870dfe79642b90b907,True,library_600x900.jpg,True,False,True,"[2, 5]",,,73.8
228200,3647,0.0,76561198120249474,Company of Heroes ,df92dc239acb3cf5d3e3eba645f3df2aaf7f91ad,True,library_600x900.jpg,True,False,True,,,,60.78
4560,0,0.0,76561198120249474,Company of Heroes - Legacy Edition,64946619217da497c9b29bc817bb40dd7d28c912,,library_600x900.jpg,False,False,True,"[2, 5]",,,0.0
231430,4417,0.0,"76561198116491768, 76561198120249474",Company of Heroes 2,5e7e1866fb4f33a17393b0441cd1c750dbd91c5f,True,library_600x900.jpg,True,False,True,,,,73.62
209670,4037,0.0,"76561198116491768, 76561198120249474",Cortex Command,2976d0e44d338d1f6136d222d8b2a764a1dfee2e,True,library_600x900.jpg,True,False,False,"[2, 5]",,,67.28
730,10,0.0,76561199483779798,Counter-Strike 2,8dbc71957312bbd3baea65848b545be9eae2a355,True,library_600x900.jpg,True,True,True,"[2, 5]",,,0.17
203770,3642,0.0,"76561198116491768, 76561198120249474",Crusader Kings II,56e9c15cbeb6c1f873f7f1dc757bae7618861484,True,library_600x900.jpg,True,False,True,,,,60.7
